DBMSTable,SiteName
3000STL1,SYPJCC-8F-ACC-01-RUNHR
3000STL2,SYPJCC-8F-ACC-02-RUNHR
3000STL3,SYPJCC-8F-ACC-03-RUNHR
3000STL4,SYPJCC-8F-ACC-04-RUNHR
3000STL5,SYPJCC-8F-CHWP-01-RUNHR
3000STL6,SYPJCC-8F-CHWP-02-RUNHR
3000STL7,SYPJCC-8F-CHWP-03-RUNHR
3000STL8,SYPJCC-8F-CHWP-04-RUNHR
3000STL9,SYPJCC-8F-CHWP-05-RUNHR
3000STL10,SYPJCC-8F-ACC-CHWM-MCHWSWT
3000STL11,SYPJCC-8F-ACC-CHWM-MCHWRWT
3000STL12,SYPJCC-8F-ACC-CHWM-MCHWRFWR
3000STL13,SYPJCC-8F-MCHWDPRE
3000STL14,SYPJCC-8F-ACC-01-CHWSWT
3000STL15,SYPJCC-8F-ACC-01-CHWRWT
3000STL16,SYPJCC-8F-ACC-01-CHWFWR
3000STL17,SYPJCC-8F-ACC-02-CHWSWT
3000STL18,SYPJCC-8F-ACC-02-CHWRWT
3000STL19,SYPJCC-8F-ACC-02-CHWFWR
3000STL20,SYPJCC-8F-ACC-03-CHWSWT
3000STL21,SYPJCC-8F-ACC-03-CHWRWT
3000STL22,SYPJCC-8F-ACC-03-CHWFWR
3000STL23,SYPJCC-8F-ACC-04-CHWSWT
3000STL24,SYPJCC-8F-ACC-04-CHWRWT
3000STL25,SYPJCC-8F-ACC-04-CHWFWR
3000STL26,SYPJCC-8F-CHWBYPVS
3000STL27,SYPJCC-8F-DPRESP
3000STL28,SYPJCC-8F-RWTSP+
3000STL29,SYPJCC-8F-RWTSP-
3000STL30,SYPJCC-8F-ACC-01-OLRSP
3000STL31,SYPJCC-8F-ACC-02-OLRSP
3000STL32,SYPJCC-8F-ACC-03-OLRSP
3000STL33,SYPJCC-8F-ACC-04-OLRSP
3000STL34,SYPJCC-8F-ACC-01-OLR
3000STL35,SYPJCC-8F-ACC-02-OLR
3000STL36,SYPJCC-8F-ACC-03-OLR
3000STL37,SYPJCC-8F-ACC-04-OLR
3000STL38,SYPJCC-8F-BLDTLKW
3000STL39,SYPJCC-8F-ACC-01-CL
3000STL40,SYPJCC-8F-ACC-02-CL
3000STL41,SYPJCC-8F-ACC-03-CL
3000STL42,SYPJCC-8F-ACC-04-CL
3000STL43,SYPJCC-8F-ACC-CHWM-TLCL
3000STL44,SYPJCC-8F-ACC-01-COP
3000STL45,SYPJCC-8F-ACC-02-COP
3000STL46,SYPJCC-8F-ACC-03-COP
3000STL47,SYPJCC-8F-ACC-04-COP
3000STL48,SYPJCC-8F-TLCOP
3000STL49,SYPJCC-8F-ACC-01-PWRS
3000STL50,SYPJCC-8F-ACC-02-PWRS
3000STL51,SYPJCC-8F-ACC-03-PWRS
3000STL52,SYPJCC-8F-ACC-04-PWRS
3000STL53,SYPJCC-8F-CHWP-01-PWRS
3000STL54,SYPJCC-8F-CHWP-02-PWRS
3000STL55,SYPJCC-8F-CHWP-03-PWRS
3000STL56,SYPJCC-8F-CHWP-04-PWRS
3000STL57,SYPJCC-8F-CHWP-05-PWRS
3000STL58,SYPJCC-8F-ACC-01-AMS
3000STL59,SYPJCC-8F-ACC-02-AMS
3000STL60,SYPJCC-8F-ACC-03-AMS
3000STL61,SYPJCC-8F-ACC-04-AMS
3000STL62,SYPJCC-8F-CHWP-01-AMS
3000STL63,SYPJCC-8F-CHWP-02-AMS
3000STL64,SYPJCC-8F-CHWP-03-AMS
3000STL65,SYPJCC-8F-CHWP-04-AMS
3000STL66,SYPJCC-8F-CHWP-05-AMS
3000STL67,SYPJCC-8F-ACC-01-S
3000STL68,SYPJCC-8F-ACC-02-S
3000STL69,SYPJCC-8F-ACC-03-S
3000STL70,SYPJCC-8F-ACC-04-S
3000STL71,SYPJCC-8F-CHWP-01-S
3000STL72,SYPJCC-8F-CHWP-02-S
3000STL73,SYPJCC-8F-CHWP-03-S
3000STL74,SYPJCC-8F-CHWP-04-S
3000STL75,SYPJCC-8F-CHWP-05-S
3000STL76,SYPJCC-8F-ACC-01-TFALM
3000STL77,SYPJCC-8F-ACC-02-TFALM
3000STL78,SYPJCC-8F-ACC-03-TFALM
3000STL79,SYPJCC-8F-ACC-04-TFALM
3000STL80,SYPJCC-8F-CHWP-01-TFALM
3000STL81,SYPJCC-8F-CHWP-02-TFALM
3000STL82,SYPJCC-8F-CHWP-03-TFALM
3000STL83,SYPJCC-8F-CHWP-04-TFALM
3000STL84,SYPJCC-8F-CHWP-05-TFALM
3000STL85,SYPJCC-8F-ACC-01-CHWVLVS
3000STL86,SYPJCC-8F-ACC-02-CHWVLVS
3000STL87,SYPJCC-8F-ACC-03-CHWVLVS
3000STL88,SYPJCC-8F-ACC-04-CHWVLVS
3000STL89,SYPJCC-8F-ACC-01-FWSWS
3000STL90,SYPJCC-8F-ACC-02-FWSWS
3000STL91,SYPJCC-8F-ACC-03-FWSWS
3000STL92,SYPJCC-8F-ACC-04-FWSWS
3000STL93,SYPJCC-8F-ACC-01PM-PAMP1
3000STL94,SYPJCC-8F-ACC-01PM-PAMP2
3000STL95,SYPJCC-8F-ACC-01PM-PAMP3
3000STL96,SYPJCC-8F-ACC-01PM-TRMS1
3000STL97,SYPJCC-8F-ACC-01PM-TRMS2
3000STL98,SYPJCC-8F-ACC-01PM-TRMS3
3000STL99,SYPJCC-8F-ACC-01PM-KW
3000STL100,SYPJCC-8F-ACC-01PM-KVAR
3000STL101,SYPJCC-8F-ACC-01PM-KVA
3000STL102,SYPJCC-8F-ACC-01PM-HZ
3000STL103,SYPJCC-8F-ACC-01PM-PF
3000STL104,SYPJCC-8F-ACC-01PM-THDV1
3000STL105,SYPJCC-8F-ACC-01PM-THDV2
3000STL106,SYPJCC-8F-ACC-01PM-THDV3
3000STL107,SYPJCC-8F-ACC-01PM-THDAMP1
